Timestamp,EEG Value
1720941217.298979,37
1720941217.414793,20
1720941217.530944,22
1720941217.6474628,22
1720941217.763458,23
1720941217.8817458,24
1720941217.995976,22
1720941218.1120791,22
1720941218.2284758,22
1720941218.344714,25
1720941218.4618309,19
1720941218.577285,17
1720941218.693574,17
1720941218.808933,18
1720941218.923288,0
1720941219.03875,9
1720941219.156055,15
1720941219.2724109,17
1720941219.388594,17
1720941219.5046809,12
1720941219.6209779,12
1720941219.7350411,0
1720941219.8523378,10
1720941219.968592,16
1720941220.085114,15
1720941220.201046,17
1720941220.317296,18
1720941220.433635,19
1720941220.5499048,23
1720941220.666003,21
1720941220.782497,15
1720941220.898653,23
1720941221.0147069,23
1720941221.130954,23
1720941221.247356,22
1720941221.363528,24
1720941221.4797592,23
1720941221.596264,20
1720941221.712651,21
1720941221.828757,22
1720941221.944688,19
1720941222.061132,18
1720941222.177326,17
1720941222.293524,18
1720941222.409647,18
1720941222.52603,16
1720941222.642179,15
1720941222.7590258,16
1720941222.874812,15
1720941222.990984,11
1720941223.104865,6
1720941223.2218611,15
1720941223.337905,16
1720941223.4545121,17
1720941223.571025,18
1720941223.684865,6
1720941223.8032708,18
1720941223.918566,24
1720941224.0348449,24
1720941224.150982,21
1720941224.267201,23
1720941224.3845482,22
1720941224.499685,24
1720941224.616117,24
1720941224.732636,24
1720941224.8484218,24
1720941224.964853,22
1720941225.081252,21
1720941225.1972868,20
1720941225.313469,22
1720941225.429782,20
1720941225.546031,22
1720941225.662297,21
1720941225.778549,21
1720941225.895308,21
1720941226.011154,22
1720941226.127254,21
1720941226.243466,20
1720941226.3596969,22
1720941226.475931,22
1720941226.592347,21
1720941226.708322,21
1720941226.824028,22
1720941226.94096,22
1720941227.057268,21
1720941227.173316,23
1720941227.2896729,21
1720941227.405679,22
1720941227.522275,21
1720941227.6385212,21
1720941227.754692,22
1720941227.870948,20
1720941227.987249,20
1720941228.103476,23
1720941228.219959,17
1720941228.335938,23
1720941228.4520729,19
1720941228.568514,23
1720941228.684717,23
1720941228.800891,23
1720941228.917186,24
1720941229.033537,23
1720941229.149514,22
1720941229.266015,22
1720941229.3821561,22
1720941229.4990091,21
1720941229.6146328,23
1720941229.73073,23
1720941229.847054,23
1720941229.963976,22
1720941230.079721,22
1720941230.195744,23
1720941230.3121421,22
1720941230.428372,22
1720941230.544704,22
1720941230.660736,24
1720941230.777128,23
1720941230.893423,22
1720941231.009664,22
1720941231.125723,22
1720941231.242075,23
1720941231.358273,24
1720941231.474472,23
1720941231.5910301,22
1720941231.706922,22
1720941231.823294,22
1720941231.939671,24
1720941232.0557282,23
1720941232.171942,23
1720941232.288216,23
1720941232.404473,23
1720941232.52084,23
1720941232.636838,23
1720941232.7534878,23
1720941232.869407,24
1720941232.985848,23
1720941233.1019351,24
1720941233.218338,23
1720941233.334389,24
1720941233.450656,25
1720941233.566855,23
1720941233.6830459,23
1720941233.7994618,24
1720941233.9156961,24
1720941234.03196,24
1720941234.148183,23
1720941234.264401,25
1720941234.380682,23
1720941234.496908,23
1720941234.613076,24
1720941234.729117,25
1720941234.846077,24
1720941234.9629388,24
1720941235.078915,24
1720941235.194417,23
1720941235.310514,22
1720941235.426473,23
1720941235.543015,22
1720941235.6594481,24
1720941235.775329,22
1720941235.8917298,24
1720941236.0086222,23
1720941236.124457,23
1720941236.240469,24
1720941236.3567958,22
1720941236.4733582,23
1720941236.589269,23
1720941236.705558,23
1720941236.82189,24
