Timestamp,EEG Value
1720939964.2849011,12
1720939964.400685,15
1720939964.516772,13
1720939964.63335,13
1720939964.749825,12
1720939964.8658109,11
1720939964.982107,12
1720939965.098192,12
1720939965.215414,12
1720939965.331915,10
1720939965.444824,9
1720939965.562165,10
1720939965.678272,10
1720939965.7944891,13
1720939965.910805,13
1720939966.0248508,9
1720939966.142278,14
1720939966.258794,11
1720939966.3747368,11
1720939966.4906082,6
1720939966.603659,9
1720939966.721024,11
1720939966.837539,11
1720939966.953699,10
1720939967.069708,11
1720939967.185938,11
1720939967.302439,11
1720939967.418644,10
1720939967.534679,10
1720939967.650932,11
1720939967.767861,10
1720939967.8837602,11
1720939968.000024,10
1720939968.1173592,10
1720939968.232255,10
1720939968.348493,11
1720939968.4649768,11
1720939968.582686,14
1720939968.698638,13
1720939968.8136902,10
1720939968.9302988,10
1720939969.0458891,10
1720939969.162369,11
1720939969.278504,10
1720939969.3948338,13
1720939969.5106869,13
1720939969.627158,10
1720939969.743646,11
1720939969.85953,13
1720939969.976269,11
1720939970.092441,14
1720939970.208394,10
1720939970.3246489,11
1720939970.440968,15
1720939970.55724,12
1720939970.673533,10
1720939970.790029,11
1720939970.906404,12
1720939971.02206,12
1720939971.138487,12
1720939971.2548559,12
1720939971.370574,12
1720939971.4870772,12
1720939971.603366,12
1720939971.719753,12
1720939971.835721,13
1720939971.952064,12
1720939972.068338,11
1720939972.184372,12
1720939972.300938,12
1720939972.417181,12
1720939972.5332532,12
1720939972.649605,11
1720939972.765749,16
1720939972.8821812,11
1720939972.998348,16
1720939973.1144588,12
1720939973.2307231,17
1720939973.3469608,15
1720939973.463396,12
1720939973.5797591,14
1720939973.696995,16
1720939973.8121989,12
1720939973.928427,17
1720939974.044631,12
1720939974.160647,14
1720939974.277003,18
1720939974.393333,16
1720939974.511523,16
1720939974.625738,10
1720939974.742229,13
1720939974.8583,13
1720939974.974554,14
1720939975.090796,13
1720939975.206769,13
1720939975.323255,14
1720939975.4394398,13
1720939975.5556889,14
1720939975.671933,13
1720939975.78833,14
1720939975.904511,14
1720939976.0209322,14
1720939976.136944,14
1720939976.253265,15
1720939976.369577,14
1720939976.486637,13
1720939976.601921,14
1720939976.71944,14
1720939976.8353322,13
1720939976.951099,17
1720939977.067009,18
1720939977.183228,13
1720939977.299474,17
1720939977.415605,14
1720939977.5316548,13
1720939977.6481779,17
1720939977.76434,16
1720939977.880434,13
1720939977.996777,13
1720939978.113287,14
1720939978.229332,16
1720939978.345645,19
1720939978.4616199,13
1720939978.5781288,15
1720939978.694592,18
1720939978.810766,14
1720939978.926791,19
1720939979.042967,16
1720939979.159275,15
1720939979.275539,16
1720939979.391982,15
1720939979.50812,15
1720939979.6242409,16
1720939979.740567,15
1720939979.8567302,16
1720939979.972806,16
1720939980.0892951,15
1720939980.205183,16
1720939980.3217332,16
1720939980.438003,16
1720939980.5543199,16
1720939980.670279,15
1720939980.7867799,16
1720939980.9028769,14
