Timestamp,EEG Value
1720940559.0909388,13
1720940559.206678,18
1720940559.323005,14
1720940559.439361,20
1720940559.5554938,17
1720940559.671902,17
1720940559.788034,16
1720940559.9043,16
1720940560.019916,14
1720940560.136319,16
1720940560.255827,20
1720940560.369629,16
1720940560.485483,13
1720940560.6017878,18
1720940560.718236,17
1720940560.834673,14
1720940560.9503329,16
1720940561.066871,14
1720940561.183007,17
1720940561.299294,15
1720940561.415704,16
1720940561.5318,18
1720940561.648375,17
1720940561.764566,18
1720940561.880542,17
1720940561.9967291,18
1720940562.113007,17
1720940562.229183,19
1720940562.3454342,13
1720940562.461878,19
1720940562.5779321,11
1720940562.6943202,22
1720940562.81041,17
1720940562.9265358,23
1720940563.0424461,21
1720940563.159243,17
1720940563.275481,21
1720940563.3916328,22
1720940563.507936,17
1720940563.623862,20
1720940563.7403321,24
1720940563.856565,19
1720940563.972886,20
1720940564.089081,24
1720940564.205338,20
1720940564.321546,23
1720940564.437768,22
1720940564.554101,23
1720940564.6702452,24
1720940564.786616,23
1720940564.902911,21
1720940565.01911,23
1720940565.1352232,23
1720940565.251473,19
1720940565.3678641,22
1720940565.484114,19
1720940565.600283,22
1720940565.717398,22
1720940565.83468,24
1720940565.948982,24
1720940566.0652852,23
1720940566.18149,20
1720940566.2976499,20
1720940566.414009,23
1720940566.530057,19
1720940566.646378,20
1720940566.763059,22
1720940566.878894,19
1720940566.995072,22
1720940567.111445,19
1720940567.227563,18
1720940567.343883,18
1720940567.4601579,17
1720940567.576467,18
1720940567.693023,21
1720940567.808874,22
1720940567.924741,23
1720940568.041548,23
1720940568.157689,22
1720940568.2737532,17
1720940568.390124,17
1720940568.50647,17
1720940568.622742,17
1720940568.738899,17
1720940568.855118,17
1720940568.9713311,19
1720940569.087623,20
1720940569.203776,23
1720940569.320064,20
1720940569.436149,24
1720940569.552551,19
1720940569.6697018,23
1720940569.78513,24
1720940569.90138,23
1720940570.017531,19
1720940570.133554,23
1720940570.250054,22
1720940570.3662221,24
1720940570.483038,25
1720940570.5988429,22
1720940570.714786,18
1720940570.832433,20
1720940570.9474099,18
1720940571.063701,22
1720940571.1799731,23
1720940571.2962408,23
1720940571.412989,22
1720940571.528743,18
1720940571.6446831,23
1720940571.761162,22
1720940571.877302,18
1720940571.994115,23
1720940572.110014,21
1720940572.226038,18
1720940572.342447,21
1720940572.458633,18
1720940572.574858,23
1720940572.691056,23
1720940572.807394,23
1720940572.9235892,18
