Timestamp,EEG Value
1721466448.354746,14
1721466448.470807,23
1721466448.586839,23
1721466448.7031722,23
1721466448.819232,23
1721466448.935338,23
1721466449.051588,27
1721466449.167982,23
1721466449.2841768,27
1721466449.4004369,22
1721466449.516583,23
1721466449.632859,23
1721466449.7492921,23
1721466449.865448,23
1721466449.981888,24
1721466450.09798,24
1721466450.21205,0
1721466450.3273149,0
1721466450.4421499,0
1721466450.557162,0
1721466450.6723032,8
1721466450.7874858,0
1721466450.90269,0
1721466451.0198138,16
1721466451.136245,21
1721466451.252414,23
1721466451.368662,23
1721466451.4848828,23
1721466451.601127,23
1721466451.7175,23
1721466451.8337128,22
1721466451.949784,23
1721466452.065917,22
1721466452.1821299,23
1721466452.298718,22
1721466452.414957,23
1721466452.5310621,23
1721466452.647347,24
1721466452.761803,0
1721466452.8765109,0
1721466452.991554,0
1721466453.106878,0
1721466453.224181,12
1721466453.3381262,5
1721466453.4531672,0
1721466453.568428,0
1721466453.685638,19
1721466453.801949,23
1721466453.918159,23
1721466454.034289,23
1721466454.1507251,23
1721466454.2668731,23
1721466454.383122,24
1721466454.499111,23
1721466454.61568,24
1721466454.7314692,23
1721466454.848128,24
1721466454.964365,24
1721466455.080608,23
1721466455.196905,23
1721466455.313109,24
1721466455.427244,0
1721466455.54226,0
1721466455.6574771,0
1721466455.7724879,0
1721466455.889737,12
1721466456.003917,7
1721466456.119285,0
1721466456.234365,0
1721466456.3511932,16
1721466456.46755,22
1721466456.583817,23
1721466456.7000031,24
1721466456.816291,23
1721466456.932533,24
1721466457.048467,24
1721466457.164717,24
1721466457.281308,23
1721466457.3977861,24
1721466457.5137541,23
1721466457.630087,23
1721466457.746333,24
1721466457.862622,24
1721466457.976665,0
1721466458.091551,0
1721466458.2068439,0
1721466458.3218691,0
1721466458.43924,12
1721466458.5553348,15
1721466458.67171,13
1721466458.788002,16
1721466458.904192,16
1721466459.02043,12
1721466459.134619,0
1721466459.24975,0
1721466459.3668978,24
1721466459.483071,23
1721466459.599381,23
1721466459.715798,23
1721466459.8318331,24
1721466459.948135,23
1721466460.0643258,23
1721466460.180615,23
1721466460.296879,23
1721466460.413088,24
1721466460.529404,23
1721466460.645571,23
1721466460.76194,24
1721466460.878057,24
1721466460.9919949,0
1721466461.107254,0
1721466461.222325,0
1721466461.3375292,0
1721466461.4549592,17
1721466461.5711691,16
1721466461.68788,17
1721466461.803663,19
1721466461.9196742,16
1721466462.033178,0
1721466462.148448,0
1721466462.2663538,24
1721466462.382504,23
1721466462.4986439,23
1721466462.615107,23
1721466462.7312331,24
1721466462.847591,22
1721466462.9639602,22
1721466463.080128,22
1721466463.196109,22
1721466463.3125162,24
1721466463.42868,23
1721466463.54498,24
1721466463.661352,23
1721466463.775428,0
1721466463.890323,0
1721466464.005457,0
1721466464.12062,0
1721466464.237947,17
1721466464.3541088,20
1721466464.470378,20
1721466464.586743,19
1721466464.700943,0
1721466464.815805,0
1721466464.9330602,24
1721466465.0494149,24
1721466465.16713,23
1721466465.281898,24
1721466465.398101,23
1721466465.5141919,23
1721466465.630451,23
1721466465.74673,23
1721466465.863054,23
1721466465.9792798,23
1721466466.095625,23
1721466466.212129,24
1721466466.325963,0
1721466466.4409611,0
1721466466.556054,0
1721466466.671224,8
1721466466.7885811,16
1721466466.904757,20
1721466467.02094,20
1721466467.1368032,14
1721466467.251211,0
1721466467.366407,0
1721466467.483597,22
1721466467.5998662,23
1721466467.7162628,23
1721466467.832524,22
1721466467.948591,23
1721466468.064878,23
1721466468.181202,23
1721466468.297605,24
1721466468.4137092,24
1721466468.5299132,23
1721466468.6461818,23
1721466468.760421,0
1721466468.8753421,0
1721466468.990434,0
1721466469.1076732,11
1721466469.2239308,16
1721466469.340242,18
1721466469.456355,18
1721466469.5727448,22
1721466469.688991,20
1721466469.805226,20
1721466469.91918,0
1721466470.0342898,0
1721466470.151813,23
1721466470.268072,23
1721466470.384175,24
1721466470.500313,23
1721466470.61661,23
1721466470.7329988,23
1721466470.849084,24
1721466470.9654331,24
1721466471.081671,23
1721466471.1983922,23
1721466471.314141,24
1721466471.428222,0
1721466471.543215,0
1721466471.658437,0
1721466471.773664,0
1721466471.890889,18
1721466472.0068328,20
1721466472.122823,22
1721466472.239171,19
1721466472.353125,0
1721466472.468319,0
1721466472.585425,23
1721466472.701577,23
1721466472.818154,23
1721466472.9342191,22
1721466473.050763,22
1721466473.167268,23
1721466473.283508,23
1721466473.399799,23
1721466473.516143,24
1721466473.632141,24
1721466473.7484522,24
1721466473.864765,24
1721466473.978328,0
1721466474.0932748,0
1721466474.209455,0
1721466474.326164,13
1721466474.442519,19
