Timestamp,EEG Value
1720933892.7107131,5
1720933892.824091,6
1720933892.93908,3
1720933893.056177,17
1720933893.172317,17
1720933893.289879,17
1720933893.4070468,12
1720933893.52091,14
1720933893.637121,10
1720933893.7535338,10
1720933893.869708,23
1720933893.986115,18
1720933894.102619,17
1720933894.2165692,9
1720933894.335213,12
1720933894.450136,19
1720933894.5663202,15
1720933894.6824021,22
1720933894.798739,21
1720933894.9148061,15
1720933895.031182,23
1720933895.147511,16
1720933895.263812,19
1720933895.379885,17
1720933895.495753,24
1720933895.612434,22
1720933895.730123,17
1720933895.8447611,15
1720933895.960568,17
1720933896.077573,11
1720933896.1934779,16
1720933896.309289,15
1720933896.425387,16
1720933896.5418618,18
1720933896.659956,16
1720933896.776063,16
1720933896.891973,16
1720933897.0072188,16
1720933897.12353,16
1720933897.239768,17
1720933897.356085,16
1720933897.472447,16
1720933897.5886981,21
1720933897.70486,20
1720933897.8211682,17
1720933897.9373481,18
1720933898.053386,19
1720933898.169665,18
1720933898.285981,23
1720933898.4020889,22
1720933898.5182788,20
1720933898.635704,21
1720933898.751039,23
1720933898.868268,24
1720933898.9851022,22
1720933899.1002061,23
1720933899.2153869,22
1720933899.332215,24
1720933899.448513,14
1720933899.564748,19
1720933899.6811259,16
1720933899.79744,23
1720933899.91398,23
1720933900.0295308,19
1720933900.1460679,19
1720933900.262053,20
1720933900.378449,20
1720933900.495023,20
1720933900.610763,19
1720933900.7279732,20
1720933900.843122,20
1720933900.960196,20
1720933901.075556,20
1720933901.1919,20
1720933901.3097641,20
1720933901.424278,20
1720933901.540576,22
1720933901.657126,19
1720933901.7745972,19
1720933901.8896399,22
1720933902.005881,16
1720933902.122289,23
1720933902.238299,20
1720933902.3547242,23
1720933902.4708061,23
1720933902.5870001,24
1720933902.703222,23
1720933902.8197062,23
1720933902.935793,17
1720933903.052741,24
1720933903.168077,20
1720933903.2850292,19
1720933903.401209,21
1720933903.5170891,24
1720933903.633576,21
1720933903.749336,21
1720933903.8656561,20
1720933903.982052,21
1720933904.098399,21
1720933904.214776,21
1720933904.3308501,21
1720933904.447296,21
1720933904.5634098,21
1720933904.679471,21
1720933904.795777,20
1720933904.911872,21
1720933905.028097,21
1720933905.144789,21
1720933905.261058,20
1720933905.377553,23
1720933905.49396,22
1720933905.6106591,24
1720933905.725863,21
1720933905.8422139,23
1720933905.958608,23
1720933906.075726,23
1720933906.191217,22
1720933906.3075771,22
1720933906.422753,22
1720933906.539567,22
1720933906.655972,18
1720933906.773061,20
1720933906.888347,22
1720933907.0044422,21
1720933907.120752,22
1720933907.236843,22
1720933907.353199,21
1720933907.46947,22
1720933907.585759,22
1720933907.702209,22
1720933907.818709,22
1720933907.934987,22
1720933908.0503309,23
1720933908.1669812,22
1720933908.2832482,21
1720933908.399709,22
1720933908.515574,22
1720933908.631936,21
1720933908.7481441,22
1720933908.864485,22
1720933908.980934,24
1720933909.0970392,14
1720933909.213658,18
1720933909.329538,23
1720933909.4456801,23
1720933909.5617568,23
1720933909.678336,24
1720933909.794246,22
1720933909.911097,24
1720933910.0270772,22
1720933910.143508,24
1720933910.260848,23
1720933910.378467,22
1720933910.492109,23
1720933910.610642,22
1720933910.724285,23
1720933910.84064,22
1720933910.957032,22
1720933911.0738199,23
1720933911.189308,22
1720933911.305635,22
1720933911.4214458,23
1720933911.537964,22
1720933911.654343,22
1720933911.7707891,23
1720933911.886883,22
1720933912.003121,16
1720933912.1196659,22
1720933912.2356071,23
1720933912.352336,21
1720933912.468342,21
1720933912.5847108,22
1720933912.700347,24
1720933912.81666,21
1720933912.9340281,23
1720933913.049183,24
1720933913.1672902,24
1720933913.2818859,23
1720933913.397808,22
1720933913.514426,23
1720933913.630839,22
1720933913.7480571,23
1720933913.862947,23
1720933913.97938,24
1720933914.095485,24
1720933914.21168,22
1720933914.328018,23
1720933914.444161,23
1720933914.56102,24
1720933914.678602,23
1720933914.795302,23
1720933914.91002,22
1720933915.026567,24
1720933915.1426141,22
1720933915.2581959,23
1720933915.374311,22
1720933915.489868,23
1720933915.606241,22
1720933915.722326,22
1720933915.8390248,21
1720933915.955468,21
1720933916.071626,22
1720933916.187926,23
1720933916.304183,23
1720933916.420005,23
1720933916.536254,24
1720933916.652929,23
1720933916.769491,24
1720933916.8860228,22
1720933917.003017,23
1720933917.1188638,22
1720933917.2343512,19
1720933917.351697,22
1720933917.466516,23
1720933917.582967,21
1720933917.6993742,23
1720933917.8148968,22
1720933917.931803,22
1720933918.048176,22
1720933918.163859,22
1720933918.280459,23
1720933918.396584,22
1720933918.512768,22
1720933918.629211,22
1720933918.74527,22
1720933918.862953,22
1720933918.977782,22
1720933919.0940669,22
1720933919.210416,23
1720933919.3265438,22
1720933919.443295,26
1720933919.562263,23
1720933919.676796,26
1720933919.791851,23
1720933919.9089909,24
1720933920.0242932,22
1720933920.139912,22
1720933920.25705,24
1720933920.3729239,23
1720933920.489533,22
1720933920.605572,22
1720933920.721729,23
1720933920.837844,23
1720933920.953968,24
1720933921.070646,23
1720933921.186458,22
1720933921.3028622,24
1720933921.418441,23
1720933921.534803,24
1720933921.652267,23
1720933921.769481,23
1720933921.884851,24
1720933922.000347,23
1720933922.11654,23
1720933922.2328022,23
1720933922.349039,24
1720933922.4653041,24
1720933922.581629,23
1720933922.697726,22
