Timestamp,EEG Value
1720946190.26515,19
1720946190.3814662,21
1720946190.4975739,11
1720946190.611728,9
1720946190.728906,22
1720946190.845087,12
1720946190.9612842,17
1720946191.077666,17
1720946191.19397,24
1720946191.3100328,24
1720946191.4262211,23
1720946191.542528,24
1720946191.658897,19
1720946191.775071,18
1720946191.891236,20
1720946192.0074959,24
1720946192.1238961,23
1720946192.240643,24
1720946192.3561852,18
1720946192.4703412,5
1720946192.587708,15
1720946192.703586,23
1720946192.819932,24
1720946192.936176,23
1720946193.0526552,17
1720946193.168931,23
1720946193.2851882,22
1720946193.401236,10
1720946193.518164,24
1720946193.633805,23
1720946193.750001,24
1720946193.8638878,9
1720946193.9787798,9
1720946194.096561,13
1720946194.212974,15
1720946194.3288581,14
1720946194.4453492,12
1720946194.5614688,24
1720946194.67767,12
1720946194.794019,24
1720946194.910248,23
1720946195.0264058,23
1720946195.1427882,23
1720946195.2590709,24
1720946195.3750458,24
1720946195.491638,24
1720946195.607635,23
1720946195.723936,21
1720946195.840331,24
1720946195.9564018,24
1720946196.0726578,22
1720946196.18888,20
1720946196.3052459,24
1720946196.421521,21
1720946196.537484,17
1720946196.654051,24
1720946196.770231,24
1720946196.886419,23
1720946197.0027468,14
1720946197.118931,13
1720946197.233143,5
1720946197.350343,11
1720946197.466391,23
1720946197.5804942,9
1720946197.6978528,12
1720946197.814207,24
1720946197.928483,7
1720946198.0453372,15
1720946198.161771,23
1720946198.2779431,15
1720946198.394306,22
1720946198.51092,17
1720946198.626744,24
1720946198.743037,24
1720946198.858969,16
1720946198.9749272,23
1720946199.09159,15
1720946199.208054,19
1720946199.324151,13
1720946199.440342,25
1720946199.55675,22
1720946199.673216,12
1720946199.789375,13
1720946199.905635,17
1720946200.021783,23
1720946200.138001,24
1720946200.254105,23
1720946200.3703701,14
1720946200.4867861,10
1720946200.603046,13
1720946200.718706,17
1720946200.8354769,24
1720946200.951533,25
1720946201.06569,9
1720946201.180692,7
1720946201.295973,7
1720946201.4132102,24
1720946201.529407,15
1720946201.6459992,23
1720946201.761923,21
1720946201.878293,24
1720946201.994544,18
1720946202.11056,15
1720946202.2269492,18
1720946202.343188,13
1720946202.4594402,18
1720946202.575616,18
1720946202.6924329,21
1720946202.808362,24
1720946202.924309,24
1720946203.04055,23
1720946203.156887,22
1720946203.2731829,17
1720946203.389523,23
1720946203.5056179,13
1720946203.621962,14
1720946203.7381818,13
1720946203.854518,23
1720946203.970092,24
1720946204.08439,0
1720946204.202208,14
1720946204.3181598,23
1720946204.434104,23
1720946204.550773,16
1720946204.666832,23
1720946204.782804,13
1720946204.897173,9
1720946205.014365,19
1720946205.1309938,23
1720946205.247006,22
1720946205.3633401,12
1720946205.47967,15
1720946205.595739,20
1720946205.7119849,23
1720946205.828181,21
1720946205.9444811,19
1720946206.06075,25
1720946206.177234,23
1720946206.293227,18
1720946206.4096692,23
1720946206.525781,23
1720946206.642119,23
1720946206.757799,8
1720946206.873409,23
1720946206.989394,23
1720946207.10589,24
1720946207.222238,18
1720946207.338475,10
1720946207.454849,23
1720946207.568633,8
1720946207.6858912,13
1720946207.800122,6
1720946207.917238,11
1720946208.033511,23
1720946208.1496792,20
1720946208.266361,23
1720946208.3820758,23
1720946208.498396,18
1720946208.614805,24
1720946208.7308722,23
1720946208.847264,22
1720946208.962789,23
1720946209.079433,16
1720946209.193899,1
1720946209.311081,25
1720946209.427283,21
1720946209.543584,19
1720946209.659866,17
1720946209.775983,16
1720946209.892402,20
1720946210.008498,22
1720946210.124758,21
1720946210.241002,23
1720946210.357244,11
1720946210.4735029,19
1720946210.589655,11
1720946210.705983,24
1720946210.822289,15
1720946210.938609,16
1720946211.052415,9
1720946211.169761,23
1720946211.2861178,23
1720946211.4002528,7
1720946211.517521,17
1720946211.6338649,24
1720946211.750047,24
1720946211.866229,10
1720946211.9825249,24
1720946212.098689,13
1720946212.214894,16
1720946212.331423,19
1720946212.447476,25
1720946212.563335,23
1720946212.679622,23
1720946212.795756,21
1720946212.912534,23
1720946213.028672,21
1720946213.144615,23
1720946213.260583,24
1720946213.377283,24
1720946213.493765,20
1720946213.6098611,23
1720946213.726078,23
1720946213.842007,20
1720946213.958085,23
1720946214.074759,16
1720946214.1890292,0
1720946214.304161,5
1720946214.4213052,15
1720946214.537589,23
1720946214.6535199,23
1720946214.7700129,23
1720946214.884168,7
1720946215.001527,22
