Timestamp,EEG Value
1720934478.694989,7
1720934478.8096352,9
1720934478.9245389,8
1720934479.03968,9
1720934479.155614,7
1720934479.2723432,10
1720934479.389014,11
1720934479.506722,13
1720934479.620865,13
1720934479.73711,15
1720934479.853447,12
1720934479.969836,13
1720934480.0863202,14
1720934480.202332,13
1720934480.317676,10
1720934480.4342809,10
1720934480.551862,10
1720934480.665236,9
1720934480.781693,8
1720934480.895215,9
1720934481.0104141,8
1720934481.127882,10
1720934481.2437298,10
1720934481.3575768,9
1720934481.475196,11
1720934481.591402,12
1720934481.707725,11
1720934481.8249521,14
1720934481.939829,11
1720934482.054545,5
1720934482.172153,15
1720934482.285372,3
1720934482.400678,6
1720934482.515657,6
1720934482.6305358,4
1720934482.749919,5
1720934482.8609269,4
1720934482.9763892,5
1720934483.0933812,11
1720934483.211231,10
1720934483.32356,5
1720934483.4411788,3
1720934483.557654,10
1720934483.670194,6
1720934483.785035,5
1720934483.900936,6
1720934484.018029,6
1720934484.1308968,6
1720934484.245961,6
1720934484.3609421,6
1720934484.4759061,1
1720934484.591367,5
1720934484.706728,5
1720934484.8218398,7
1720934484.936275,7
1720934485.051392,7
1720934485.166847,6
1720934485.281468,7
1720934485.3964832,6
1720934485.511908,6
1720934485.627029,8
1720934485.742194,4
1720934485.859669,11
1720934485.9756758,6
1720934486.088882,8
1720934486.2039402,8
1720934486.31869,8
1720934486.4339359,8
1720934486.549363,8
1720934486.664304,8
1720934486.779635,9
1720934486.896241,13
1720934487.013616,12
1720934487.129376,14
1720934487.2431092,9
1720934487.3626182,15
1720934487.478155,12
1720934487.594097,16
1720934487.7099001,20
1720934487.8238258,3
1720934487.938167,4
1720934488.053306,8
1720934488.168693,8
1720934488.284273,8
1720934488.399141,8
1720934488.5164201,10
1720934488.6303868,6
1720934488.745381,6
1720934488.8604841,9
1720934488.976322,5
1720934489.0907872,5
1720934489.205881,7
1720934489.321244,7
1720934489.435613,7
1720934489.55089,7
1720934489.666389,6
1720934489.783096,7
1720934489.896445,3
1720934490.013888,12
1720934490.128043,7
1720934490.2427032,6
1720934490.357368,8
1720934490.472764,8
1720934490.58904,8
1720934490.703212,7
1720934490.818542,8
1720934490.933342,8
1720934491.04911,7
1720934491.165749,8
1720934491.2806349,15
1720934491.397502,12
1720934491.5113401,4
1720934491.626444,6
1720934491.7419798,9
1720934491.8594491,10
1720934491.975682,11
1720934492.091535,11
1720934492.209256,11
1720934492.32422,13
1720934492.440468,14
1720934492.556621,14
1720934492.672839,14
1720934492.789002,14
1720934492.90523,14
1720934493.02142,14
1720934493.1378171,14
1720934493.253906,13
1720934493.370087,13
1720934493.4863281,18
1720934493.602593,16
1720934493.720128,16
1720934493.835099,16
1720934493.951509,13
1720934494.0677462,15
1720934494.1862578,15
1720934494.300169,13
1720934494.4164522,15
1720934494.532684,14
1720934494.649015,14
1720934494.765294,14
1720934494.881664,15
1720934494.997468,14
1720934495.113964,14
1720934495.2302442,15
1720934495.345672,15
1720934495.462247,14
1720934495.5789702,14
1720934495.6954792,13
1720934495.811281,13
1720934495.927883,13
1720934496.04427,12
1720934496.1602979,12
1720934496.276299,12
1720934496.392661,12
1720934496.508954,13
1720934496.625086,11
1720934496.741218,12
1720934496.857685,14
1720934496.973952,10
1720934497.090305,11
1720934497.206205,12
1720934497.320561,7
1720934497.4381819,16
1720934497.5539992,12
1720934497.6702778,14
1720934497.787819,13
1720934497.9031591,16
1720934498.019404,14
1720934498.135205,15
1720934498.251275,15
1720934498.367698,15
1720934498.484062,15
1720934498.6001978,15
1720934498.716579,16
1720934498.83266,16
1720934498.949013,15
1720934499.0651572,17
1720934499.1818051,16
1720934499.29927,16
1720934499.413882,16
1720934499.5300128,16
1720934499.646183,16
1720934499.762603,17
1720934499.878283,16
1720934499.995133,17
1720934500.111433,16
1720934500.2275999,18
1720934500.343152,18
1720934500.459439,20
1720934500.576354,16
1720934500.692555,16
1720934500.808801,14
1720934500.925345,18
1720934501.041374,17
1720934501.157661,17
1720934501.2739022,18
1720934501.390224,18
1720934501.506384,18
1720934501.622601,19
1720934501.738564,18
1720934501.8551,18
1720934501.971182,18
1720934502.087732,18
1720934502.204084,18
1720934502.320555,18
1720934502.436579,18
1720934502.552214,20
1720934502.668551,19
1720934502.7852008,19
1720934502.9014552,18
1720934503.017492,18
1720934503.133868,19
1720934503.250061,18
1720934503.366328,18
1720934503.482493,17
1720934503.598976,17
1720934503.715026,16
1720934503.831212,16
1720934503.947586,19
1720934504.063592,20
1720934504.179996,24
1720934504.296391,16
1720934504.416985,20
1720934504.530429,19
1720934504.6457548,20
