Timestamp,EEG Value
1720935316.347619,18
1720935316.4634671,18
1720935316.5798059,18
1720935316.696199,22
1720935316.8122702,19
1720935316.9289742,20
1720935317.0456269,18
1720935317.1615329,18
1720935317.277306,16
1720935317.393541,14
1720935317.5097961,17
1720935317.625998,21
1720935317.742263,26
1720935317.858363,21
1720935317.974446,17
1720935318.095596,16
1720935318.20716,17
1720935318.323498,18
1720935318.439699,19
1720935318.556288,19
1720935318.672134,18
1720935318.788335,19
1720935318.9047658,18
1720935319.020747,18
1720935319.137413,19
1720935319.2535338,19
1720935319.370382,18
1720935319.491463,20
1720935319.601644,21
1720935319.7234828,21
1720935319.8341172,20
1720935319.950109,20
1720935320.0665028,20
1720935320.1832561,19
1720935320.299569,18
1720935320.415709,19
1720935320.5318341,17
1720935320.648444,16
1720935320.764565,17
1720935320.881048,17
1720935320.996963,17
1720935321.1133811,17
1720935321.230329,21
1720935321.3459,18
1720935321.462307,19
1720935321.578434,24
1720935321.695633,21
1720935321.810742,19
1720935321.927043,18
1720935322.043238,19
1720935322.15923,20
1720935322.2751338,19
1720935322.391474,20
1720935322.5081658,21
1720935322.624453,21
1720935322.7408981,21
1720935322.8573172,20
1720935322.973129,21
1720935323.0894861,21
1720935323.205743,20
1720935323.32145,21
1720935323.438399,21
1720935323.5544682,22
1720935323.670948,21
1720935323.7870982,21
1720935323.903811,23
1720935324.019336,22
1720935324.136199,22
1720935324.251946,22
1720935324.3681338,21
1720935324.484595,22
1720935324.600309,21
1720935324.716724,21
1720935324.833528,22
1720935324.949567,22
1720935325.065773,21
1720935325.188768,21
1720935325.2984,20
1720935325.414432,20
1720935325.5311942,20
1720935325.6468391,21
1720935325.763278,21
1720935325.879561,24
1720935325.996046,20
1720935326.112064,23
1720935326.227895,23
1720935326.3459709,23
1720935326.460557,23
1720935326.576703,24
1720935326.693113,22
1720935326.809207,23
1720935326.92545,23
1720935327.0415611,23
1720935327.1582599,23
1720935327.274683,22
1720935327.391389,23
1720935327.507752,22
1720935327.622967,23
1720935327.7398982,24
1720935327.8554251,22
1720935327.971686,23
1720935328.087978,23
1720935328.2047958,23
1720935328.32035,24
1720935328.4376929,23
1720935328.552983,23
1720935328.670055,22
1720935328.7863958,23
1720935328.902473,23
1720935329.017683,23
1720935329.134329,22
1720935329.2503371,24
1720935329.366569,23
1720935329.482733,23
1720935329.599172,23
1720935329.716351,22
1720935329.832132,22
1720935329.9477792,22
1720935330.0640059,21
1720935330.180322,21
1720935330.2965271,16
1720935330.4127848,22
1720935330.5285919,23
1720935330.6448882,20
1720935330.7618299,23
1720935330.879468,23
1720935330.994205,23
1720935331.110096,22
1720935331.228996,23
1720935331.34304,23
1720935331.459208,23
1720935331.5752268,23
1720935331.691454,23
1720935331.807651,24
1720935331.923879,23
1720935332.040152,23
1720935332.156637,24
1720935332.2731142,24
1720935332.388951,24
1720935332.5053399,24
1720935332.621333,24
1720935332.737663,25
1720935332.854165,23
1720935332.970521,24
1720935333.0896351,24
1720935333.205293,24
1720935333.320585,23
1720935333.435411,24
1720935333.5523798,24
1720935333.6675708,24
1720935333.783895,24
1720935333.9002051,24
1720935334.016434,24
1720935334.133086,23
1720935334.2489338,23
1720935334.3653069,24
1720935334.4813619,23
1720935334.597619,24
1720935334.7145238,23
1720935334.8303459,24
1720935334.9461482,23
1720935335.062701,22
1720935335.178831,23
1720935335.2950242,22
1720935335.411808,22
1720935335.527484,22
1720935335.643839,23
1720935335.760174,23
1720935335.8766139,23
1720935335.992705,22
1720935336.108705,22
1720935336.224771,22
1720935336.340835,22
1720935336.457463,24
1720935336.58131,24
1720935336.690432,21
1720935336.80619,24
1720935336.925523,25
1720935337.040247,24
1720935337.1564128,25
1720935337.270655,24
1720935337.387373,25
1720935337.5046642,25
1720935337.6201081,25
1720935337.736319,25
1720935337.853204,26
1720935337.971553,25
1720935338.084629,24
1720935338.200961,25
1720935338.3177369,24
1720935338.433432,25
1720935338.5499809,24
1720935338.6660101,26
1720935338.782252,25
1720935338.8985028,24
1720935339.014776,24
1720935339.1311302,25
1720935339.247317,24
1720935339.363617,23
1720935339.479904,25
1720935339.596517,25
1720935339.7134988,25
1720935339.828419,25
1720935339.945476,25
1720935340.061069,24
1720935340.1774888,24
1720935340.2933939,24
1720935340.409579,24
1720935340.525482,24
1720935340.642003,23
1720935340.7586591,24
1720935340.8747678,22
1720935340.991009,23
1720935341.1069891,23
1720935341.223445,22
1720935341.339618,23
1720935341.456158,23
1720935341.5721989,22
1720935341.688243,22
1720935341.804588,23
1720935341.920883,22
1720935342.037206,23
1720935342.153507,23
1720935342.2699258,25
1720935342.3856618,25
1720935342.504523,26
1720935342.618412,25
1720935342.73438,25
1720935342.851509,25
1720935342.966913,25
1720935343.083492,26
1720935343.1996539,25
1720935343.316179,25
1720935343.432744,25
1720935343.549943,25
1720935343.664584,26
1720935343.780902,25
1720935343.89697,25
1720935344.0134132,26
1720935344.129462,26
1720935344.245667,26
1720935344.362027,24
1720935344.4781692,25
1720935344.5944672,26
1720935344.710732,24
1720935344.8270988,24
1720935344.944449,24
1720935345.0594282,24
1720935345.175863,25
1720935345.292011,24
1720935345.408293,24
1720935345.525132,24
1720935345.644536,23
1720935345.7576241,24
1720935345.8744168,24
1720935345.991575,23
1720935346.1057,23
1720935346.2219179,23
1720935346.338343,24
1720935346.454172,23
1720935346.570431,24
1720935346.686881,22
1720935346.803822,24
1720935346.919337,23
1720935347.035757,24
1720935347.1521971,23
1720935347.268051,22
1720935347.3844302,23
1720935347.50042,23
1720935347.616936,23
1720935347.73311,25
1720935347.849685,25
1720935347.96651,25
1720935348.082897,25
1720935348.198061,27
1720935348.314243,26
1720935348.4303622,25
1720935348.546845,27
1720935348.662963,25
1720935348.7810051,26
1720935348.895585,25
1720935349.012251,25
1720935349.127745,25
1720935349.2437031,25
1720935349.360372,26
1720935349.476662,25
1720935349.592957,25
1720935349.7095559,25
1720935349.825106,25
1720935349.9416919,25
1720935350.0583522,25
1720935350.174248,26
1720935350.290377,25
1720935350.40592,26
1720935350.522832,24
1720935350.639306,25
1720935350.755771,25
1720935350.871695,25
1720935350.9878862,24
1720935351.104104,26
1720935351.22227,24
1720935351.337398,25
1720935351.4532192,24
1720935351.569332,24
1720935351.6855721,24
1720935351.802419,23
1720935351.917249,24
1720935352.0339699,23
1720935352.150553,23
1720935352.268342,23
1720935352.38305,22
1720935352.5005991,24
1720935352.6167948,23
1720935352.73383,23
1720935352.8479202,24
1720935352.963976,24
1720935353.0799732,24
1720935353.2006998,26
1720935353.3126779,26
1720935353.428936,26
1720935353.545156,25
1720935353.6613,25
1720935353.777596,26
1720935353.893985,26
1720935354.010677,25
1720935354.1265879,26
1720935354.242733,25
1720935354.358936,26
1720935354.474997,26
1720935354.591451,26
1720935354.7076101,26
1720935354.8238678,26
1720935354.940196,27
1720935355.0564559,26
1720935355.173274,26
1720935355.2892082,26
1720935355.4056902,25
1720935355.5212722,26
1720935355.637433,25
1720935355.754004,26
1720935355.869966,26
1720935355.9864361,26
1720935356.10238,25
1720935356.218026,25
1720935356.334644,25
1720935356.451384,24
1720935356.567583,25
1720935356.683764,25
1720935356.80003,25
1720935356.9162729,24
1720935357.0325398,25
1720935357.148534,24
1720935357.264968,24
1720935357.381202,24
1720935357.497411,24
1720935357.6138701,23
1720935357.731713,24
1720935357.8460958,23
1720935357.962442,22
1720935358.078495,22
1720935358.194874,23
1720935358.3118532,23
1720935358.4273431,22
1720935358.543552,24
1720935358.6598651,23
1720935358.776299,24
1720935358.892528,26
1720935359.008652,27
1720935359.125716,26
1720935359.240614,27
1720935359.357682,26
1720935359.473562,25
1720935359.589922,26
1720935359.705937,26
1720935359.822361,26
1720935359.9384918,27
1720935360.0548322,26
1720935360.171212,26
1720935360.287188,26
1720935360.403615,27
1720935360.5196202,26
1720935360.635953,26
1720935360.7516842,27
1720935360.868341,26
1720935360.984639,26
1720935361.100839,25
1720935361.219452,26
1720935361.333163,27
1720935361.449708,26
1720935361.566182,25
1720935361.683795,25
1720935361.798412,25
1720935361.917373,26
1720935362.03089,26
1720935362.1465678,26
1720935362.262997,26
1720935362.379843,25
1720935362.4958332,26
1720935362.612062,25
1720935362.72833,25
1720935362.8447611,26
1720935362.960991,26
1720935363.0772731,25
1720935363.193511,25
1720935363.309489,25
1720935363.42814,25
1720935363.542002,24
1720935363.658103,24
1720935363.774687,24
1720935363.891971,23
1720935364.007998,24
1720935364.123939,23
1720935364.239637,24
1720935364.3555598,23
1720935364.472279,22
1720935364.588383,24
1720935364.704663,24
1720935364.820818,23
1720935364.937155,27
1720935365.0531259,26
1720935365.169475,27
1720935365.285768,28
1720935365.4021308,27
1720935365.518348,26
1720935365.6345012,26
1720935365.750725,27
1720935365.866722,27
1720935365.982752,27
1720935366.0993931,27
1720935366.2174778,26
1720935366.332673,27
1720935366.448095,26
1720935366.564169,26
1720935366.680863,26
1720935366.79674,26
1720935366.912964,27
1720935367.0291631,27
1720935367.1456032,27
1720935367.261945,26
1720935367.3780339,27
1720935367.494116,26
1720935367.6106381,26
1720935367.727469,27
1720935367.842725,26
1720935367.959299,27
1720935368.075519,27
1720935368.191494,27
1720935368.307956,26
1720935368.424133,26
1720935368.5403972,25
1720935368.657834,26
1720935368.773498,26
1720935368.889267,25
1720935369.005641,26
1720935369.121817,25
1720935369.238658,24
1720935369.3541398,24
1720935369.470958,25
1720935369.5871549,24
1720935369.70601,24
1720935369.8194299,25
1720935369.935413,24
1720935370.051758,26
1720935370.168092,23
1720935370.2839592,23
1720935370.4004312,24
1720935370.51598,20
1720935370.634057,23
1720935370.749574,24
1720935370.865925,23
1720935370.981498,24
1720935371.097734,27
1720935371.2140238,27
1720935371.330243,27
1720935371.446552,26
1720935371.562955,27
1720935371.678973,28
1720935371.795291,27
1720935371.911433,26
1720935372.027738,28
1720935372.144004,26
1720935372.260461,26
1720935372.376265,28
1720935372.492697,27
1720935372.609035,27
1720935372.7252538,27
1720935372.841355,27
1720935372.957543,27
1720935373.074303,26
1720935373.190924,27
1720935373.310236,27
1720935373.42264,27
1720935373.538709,26
1720935373.655072,27
1720935373.771521,27
1720935373.888154,27
1720935374.004122,26
1720935374.120021,26
