Timestamp,EEG Value
1720937489.959324,306
1720937490.07198,0
1720937490.1871161,0
1720937490.3024929,0
1720937490.421868,101
1720937490.537032,70
1720937490.653328,61
1720937490.7690198,60
1720937490.888067,110
1720937491.0053499,624
1720937491.123036,625
1720937491.240149,625
1720937491.357454,624
1720937491.470521,0
1720937491.585645,0
1720937491.703747,61
1720937491.821335,107
1720937491.936704,59
1720937492.0527291,61
1720937492.168858,79
1720937492.2851698,70
1720937492.401376,83
1720937492.5177128,81
1720937492.6361752,158
1720937492.753487,215
1720937492.8708029,202
1720937492.988974,625
1720937493.105675,625
1720937493.2234502,623
1720937493.340262,441
1720937493.452946,0
1720937493.570931,32
1720937493.688991,625
1720937493.806696,625
1720937493.923667,625
1720937494.0411751,625
1720937494.158669,624
1720937494.275987,212
1720937494.389686,0
1720937494.508387,397
1720937494.623996,88
1720937494.742101,481
1720937494.857592,81
1720937494.975777,411
1720937495.088656,0
1720937495.2038121,0
1720937495.321114,36
1720937495.437386,34
1720937495.553642,43
1720937495.669896,60
1720937495.786121,71
1720937495.902394,77
1720937496.020739,128
1720937496.1359549,88
1720937496.252411,97
1720937496.3685691,99
1720937496.486471,107
1720937496.604314,105
1720937496.7196212,72
1720937496.835806,83
1720937496.954392,101
1720937497.070245,82
1720937497.187705,226
1720937497.305282,466
1720937497.422699,311
1720937497.537718,32
1720937497.654069,30
1720937497.769921,46
1720937497.886812,55
1720937498.0030231,74
1720937498.1213849,79
1720937498.2353,82
1720937498.35149,93
1720937498.46998,101
1720937498.584787,82
1720937498.7032142,103
1720937498.819343,86
1720937498.935019,92
1720937499.053327,102
1720937499.1696398,86
1720937499.285513,97
1720937499.403237,102
1720937499.519646,82
1720937499.6369169,108
1720937499.7528372,80
1720937499.8683252,96
1720937499.98684,125
1720937500.1021981,94
1720937500.220326,120
1720937500.337787,116
1720937500.452964,88
1720937500.571386,108
1720937500.686671,95
1720937500.805048,106
1720937500.92237,147
1720937501.039756,108
1720937501.154735,87
1720937501.271185,92
1720937501.389728,141
1720937501.5046232,93
1720937501.623042,124
1720937501.740503,109
1720937501.8552918,82
1720937501.9722612,95
1720937502.090359,97
1720937502.207403,106
1720937502.321867,81
1720937502.4402869,102
1720937502.55553,88
1720937502.6717088,89
1720937502.792106,119
1720937502.907232,117
1720937503.023178,82
1720937503.14123,107
1720937503.256503,77
1720937503.3727732,91
1720937503.4909928,102
1720937503.606254,74
1720937503.723001,95
1720937503.840919,108
1720937503.956085,94
1720937504.074681,112
1720937504.189762,95
1720937504.307961,107
1720937504.426541,89
1720937504.5419211,106
1720937504.657612,95
1720937504.7752872,108
1720937504.890961,92
1720937505.0093062,109
1720937505.124359,86
1720937505.2427142,124
1720937505.357892,89
1720937505.477789,102
1720937505.591711,77
1720937505.707598,82
1720937505.8290198,110
1720937505.941452,79
1720937506.0575109,98
1720937506.1760252,132
1720937506.294312,128
1720937506.408759,99
1720937506.526898,109
1720937506.642224,92
1720937506.7608619,134
1720937506.8759098,81
1720937506.994192,116
1720937507.10955,52
1720937507.2257369,64
1720937507.342134,85
1720937507.460474,104
1720937507.5756001,90
1720937507.6953769,129
1720937507.809289,88
1720937507.927543,112
1720937508.04255,75
1720937508.1591182,95
1720937508.2754939,96
1720937508.394281,123
1720937508.5091531,90
1720937508.625379,95
1720937508.7443042,118
1720937508.859045,98
1720937508.977372,119
1720937509.0926,95
1720937509.21201,109
1720937509.326411,89
1720937509.444789,110
1720937509.55995,85
1720937509.678849,101
1720937509.794042,78
1720937509.909884,99
1720937510.028203,120
1720937510.14452,97
1720937510.2617888,109
1720937510.376885,79
1720937510.4943948,95
1720937510.6110919,104
1720937510.7282739,82
1720937510.843211,92
1720937510.96149,106
1720937511.0774589,90
1720937511.195176,108
1720937511.310282,96
1720937511.4323862,103
1720937511.543853,78
1720937511.661083,89
1720937511.777826,99
1720937511.894729,116
1720937512.010387,95
1720937512.128406,106
1720937512.2437062,81
1720937512.360157,84
1720937512.4778519,97
1720937512.5946481,104
1720937512.71088,93
1720937512.828087,102
