Timestamp,EEG Value
1720937967.413118,14
1720937967.52638,6
1720937967.6440299,11
1720937967.758235,5
1720937967.875702,11
1720937967.993828,625
1720937968.1090071,15
1720937968.2274802,625
1720937968.345094,536
1720937968.4623182,466
1720937968.580211,347
1720937968.696874,228
1720937968.810009,0
1720937968.92976,324
1720937969.047008,194
1720937969.159667,0
1720937969.277212,11
1720937969.393397,12
1720937969.5095942,14
1720937969.62574,11
1720937969.7421389,15
1720937969.858989,14
1720937969.974744,16
1720937970.090733,15
1720937970.206975,16
1720937970.323272,17
1720937970.439649,18
1720937970.555755,19
1720937970.672128,19
1720937970.788346,19
1720937970.9046478,21
1720937971.02108,18
1720937971.1370509,20
1720937971.253618,19
1720937971.3695831,22
1720937971.485743,22
1720937971.602022,22
1720937971.7182348,22
1720937971.834572,27
1720937971.950815,27
1720937972.066937,25
1720937972.184164,25
1720937972.30046,31
1720937972.41555,29
1720937972.5316212,28
1720937972.64752,27
1720937972.763702,27
1720937972.88002,26
1720937972.995977,25
1720937973.11377,23
1720937973.2297568,22
1720937973.344964,20
1720937973.460983,19
1720937973.580422,17
1720937973.6944,14
1720937973.810456,14
1720937973.926722,13
1720937974.0430021,12
1720937974.159534,10
1720937974.275785,10
1720937974.389497,9
1720937974.506767,11
1720937974.623191,12
1720937974.739308,14
1720937974.855689,14
1720937974.972142,14
1720937975.088347,16
1720937975.204952,15
1720937975.320595,17
1720937975.438032,17
1720937975.553208,18
1720937975.6694841,18
1720937975.78562,19
1720937975.9018319,20
1720937976.018074,20
1720937976.134444,19
1720937976.250583,19
1720937976.366862,20
1720937976.483097,20
1720937976.599437,21
1720937976.7155058,21
1720937976.831655,21
1720937976.948247,22
1720937977.064339,23
1720937977.1805189,22
1720937977.2968352,25
1720937977.4133592,31
1720937977.529164,28
1720937977.6462421,32
1720937977.761788,33
1720937977.878082,39
1720937977.996642,211
1720937978.111155,95
1720937978.227454,34
1720937978.343947,30
1720937978.460244,30
1720937978.5765362,27
1720937978.692537,28
1720937978.809265,26
1720937978.925358,26
1720937979.04164,26
1720937979.157847,25
1720937979.274258,24
1720937979.390296,25
1720937979.506413,25
1720937979.622823,24
1720937979.739,23
1720937979.8553228,23
1720937979.9718242,22
1720937980.087699,23
1720937980.2062669,23
1720937980.320405,22
