Timestamp,EEG Value
1720961168.226547,27
1720961168.3421571,34
1720961168.4563031,0
1720961168.571352,0
1720961168.686422,0
1720961168.803644,12
1720961168.917665,2
1720961169.035095,24
1720961169.1506848,23
1720961169.264909,4
1720961169.379818,5
1720961169.4951448,0
1720961169.610812,0
1720961169.725889,0
1720961169.8431418,12
1720961169.959336,18
1720961170.075281,30
1720961170.191851,12
1720961170.307362,17
1720961170.424191,18
1720961170.540589,16
1720961170.654536,9
1720961170.771738,24
1720961170.888094,26
1720961171.002272,9
1720961171.11962,12
1720961171.2370188,22
1720961171.34967,7
1720961171.467196,24
1720961171.583366,13
1720961171.6974568,5
1720961171.812644,0
1720961171.92831,7
1720961172.044897,18
1720961172.160722,17
1720961172.2773418,15
1720961172.393722,14
1720961172.510039,22
1720961172.626245,11
1720961172.740381,8
1720961172.8553731,8
1720961172.972787,11
1720961173.088827,16
1720961173.205211,19
1720961173.3214011,18
1720961173.437418,23
1720961173.553898,24
1720961173.670003,24
1720961173.786359,13
1720961173.902595,23
1720961174.018836,20
1720961174.134722,22
1720961174.250863,11
1720961174.367588,22
1720961174.483859,12
1720961174.600236,22
1720961174.7163148,14
1720961174.8326101,24
1720961174.9488819,23
1720961175.06472,10
1720961175.180887,12
1720961175.2976499,11
1720961175.414015,25
1720961175.530046,14
1720961175.646421,17
1720961175.76248,11
1720961175.878937,27
1720961175.99489,18
1720961176.1115332,19
1720961176.227364,13
1720961176.343712,11
1720961176.460136,15
1720961176.575978,18
1720961176.692524,16
1720961176.8086889,24
1720961176.9248059,11
1720961177.04158,18
1720961177.15746,24
1720961177.274009,25
1720961177.390031,24
1720961177.506214,23
1720961177.622418,24
1720961177.738865,19
1720961177.855131,19
1720961177.9711518,24
1720961178.087418,26
1720961178.203645,18
1720961178.31992,23
1720961178.4362829,23
1720961178.552256,14
1720961178.6685052,16
1720961178.785086,24
1720961178.901331,24
1720961179.017312,14
1720961179.133312,19
1720961179.2494001,16
1720961179.3661,16
1720961179.482502,15
1720961179.59858,24
1720961179.714758,25
1720961179.8308952,11
1720961179.9473479,14
1720961180.063723,24
1720961180.1798558,18
1720961180.296155,17
1720961180.412501,22
1720961180.528606,17
1720961180.644961,24
1720961180.761255,24
1720961180.877229,17
1720961180.993536,22
1720961181.109887,16
1720961181.2261581,24
1720961181.342328,23
1720961181.45897,18
1720961181.574681,16
1720961181.6910532,24
1720961181.807379,31
1720961181.923472,19
1720961182.039755,18
1720961182.1559732,20
1720961182.272372,31
1720961182.38858,26
1720961182.504704,21
1720961182.6209788,19
1720961182.737344,30
1720961182.853614,26
1720961182.969719,18
1720961183.085935,30
1720961183.2024472,29
1720961183.318582,19
1720961183.4348779,20
1720961183.551703,23
1720961183.667319,20
1720961183.783236,26
1720961183.8996632,29
1720961184.018485,21
1720961184.131883,22
1720961184.247904,21
1720961184.3647501,24
1720961184.480962,28
1720961184.597054,26
1720961184.713515,23
1720961184.8296802,20
1720961184.945868,21
1720961185.062069,22
1720961185.178355,34
1720961185.2947059,25
1720961185.411092,22
1720961185.5277162,27
1720961185.6428611,20
1720961185.759729,20
1720961185.876065,26
1720961185.991905,22
1720961186.1082969,21
1720961186.224606,25
1720961186.3408132,24
1720961186.456846,23
1720961186.5735621,32
1720961186.689611,31
1720961186.805599,32
1720961186.9222422,21
