Timestamp,EEG Value
1720959043.131613,0
1720959043.2459068,0
1720959043.360862,9
1720959043.4781172,17
1720959043.594295,12
1720959043.7105868,24
1720959043.8246222,3
1720959043.942105,22
1720959044.0561311,4
1720959044.171087,0
1720959044.2863119,0
1720959044.401362,0
1720959044.516536,0
1720959044.633804,24
1720959044.747911,0
1720959044.8650339,15
1720959044.979101,9
1720959045.096511,10
1720959045.210711,9
1720959045.327749,23
1720959045.444501,18
1720959045.560143,23
1720959045.676509,17
1720959045.792767,24
1720959045.9091,23
1720959046.0255501,22
1720959046.14147,23
1720959046.2574458,24
1720959046.374187,17
1720959046.490177,11
1720959046.604311,7
1720959046.719557,0
1720959046.83405,0
1720959046.951658,13
1720959047.06824,24
1720959047.184269,15
1720959047.300651,20
1720959047.414786,8
1720959047.532021,10
1720959047.648128,15
1720959047.764438,13
1720959047.881375,19
1720959047.996883,17
1720959048.113025,21
1720959048.22964,16
1720959048.345742,13
1720959048.461994,16
1720959048.5782511,22
1720959048.694428,17
1720959048.810729,20
1720959048.9270499,17
1720959049.0431402,23
1720959049.1594071,20
1720959049.275727,23
1720959049.3917282,20
1720959049.508676,18
1720959049.624388,24
1720959049.740569,23
1720959049.856736,21
1720959049.9732502,14
1720959050.089272,22
1720959050.205569,14
1720959050.3215702,24
1720959050.4357288,8
1720959050.553259,24
1720959050.669486,13
1720959050.785866,12
1720959050.899742,9
1720959051.017062,23
1720959051.133343,23
1720959051.249503,13
1720959051.365828,17
1720959051.482032,14
1720959051.598326,15
1720959051.714457,24
1720959051.830323,19
1720959051.946869,20
1720959052.063385,24
1720959052.179622,17
1720959052.295887,23
1720959052.4121332,23
1720959052.528388,19
1720959052.644844,21
1720959052.7608662,18
1720959052.8769221,23
1720959052.9933949,17
1720959053.109529,17
1720959053.225879,23
1720959053.3420658,23
1720959053.458352,20
1720959053.5744169,22
1720959053.6964118,19
1720959053.807161,24
1720959053.923212,19
1720959054.039855,18
1720959054.1557171,24
1720959054.272084,15
1720959054.38802,16
1720959054.504766,23
1720959054.620406,19
1720959054.736934,17
1720959054.853228,23
1720959054.969426,14
1720959055.085749,23
1720959055.202006,13
1720959055.3182862,13
1720959055.43456,22
1720959055.550826,17
1720959055.6670122,23
1720959055.783246,15
1720959055.9000719,16
1720959056.0157619,17
1720959056.129666,9
1720959056.247157,18
1720959056.363507,24
1720959056.479328,21
1720959056.595809,19
1720959056.71387,23
1720959056.827636,24
1720959056.944366,23
1720959057.060856,18
1720959057.177106,16
1720959057.293313,17
1720959057.4095519,20
1720959057.525541,19
1720959057.6418371,20
1720959057.7582452,22
1720959057.874492,16
1720959057.990837,20
1720959058.10699,23
1720959058.2232692,20
1720959058.339226,24
1720959058.4558668,21
1720959058.572053,21
1720959058.6883469,23
1720959058.804523,19
1720959058.920927,23
1720959059.0370188,19
1720959059.153239,18
1720959059.269556,23
1720959059.38575,24
1720959059.5018802,16
1720959059.6181371,16
1720959059.73456,18
1720959059.85061,24
1720959059.966934,15
1720959060.083233,16
1720959060.197254,6
1720959060.314379,14
1720959060.4308312,12
1720959060.54705,13
1720959060.663305,14
1720959060.7795699,14
1720959060.8959,23
1720959061.0121531,15
1720959061.12784,18
1720959061.244417,16
1720959061.3607109,24
1720959061.477003,23
1720959061.593157,19
1720959061.709476,24
1720959061.825307,23
1720959061.94181,24
1720959062.0581849,19
1720959062.174434,21
1720959062.290786,24
1720959062.406817,23
1720959062.523403,17
1720959062.63955,25
1720959062.7557352,18
1720959062.872004,22
1720959062.9883661,18
1720959063.104564,21
1720959063.220939,23
1720959063.3369899,22
1720959063.453001,20
1720959063.5694778,22
1720959063.686399,23
1720959063.801978,21
1720959063.918331,18
1720959064.0346801,24
1720959064.150805,23
1720959064.26707,15
1720959064.383296,16
1720959064.4995258,24
1720959064.617289,23
1720959064.73226,16
1720959064.84817,17
1720959064.9625258,6
1720959065.0796502,16
1720959065.1957371,24
1720959065.312146,24
1720959065.428409,19
1720959065.544508,19
1720959065.661108,24
1720959065.777003,18
1720959065.8933172,24
1720959066.00972,15
1720959066.125644,25
1720959066.242135,17
1720959066.3578959,15
1720959066.474428,17
1720959066.590858,15
1720959066.7070951,15
1720959066.822871,16
1720959066.9392262,12
1720959067.0557592,24
1720959067.172003,23
1720959067.288321,16
1720959067.404473,22
1720959067.520732,18
1720959067.637001,19
1720959067.753311,21
1720959067.86931,18
1720959067.98594,24
1720959068.10207,23
1720959068.2182488,25
1720959068.334816,24
1720959068.4509661,25
1720959068.566945,18
1720959068.68328,11
1720959068.799544,19
1720959068.9157052,24
1720959069.0320508,11
1720959069.148237,17
1720959069.2645068,14
1720959069.380875,18
1720959069.49491,0
1720959069.612294,23
1720959069.726316,9
1720959069.8435369,23
1720959069.9597409,20
1720959070.076053,20
1720959070.192224,17
1720959070.307872,17
1720959070.424344,13
1720959070.5409,17
1720959070.657265,22
1720959070.77339,20
1720959070.88967,18
1720959071.0061052,24
1720959071.12218,32
1720959071.238534,23
1720959071.354774,24
1720959071.4711769,20
1720959071.5871959,22
1720959071.703497,20
1720959071.8191528,18
1720959071.935606,24
1720959072.052164,26
1720959072.16856,22
1720959072.284936,39
1720959072.4008892,23
1720959072.517189,24
1720959072.63375,19
1720959072.7496672,19
1720959072.865927,23
1720959072.982186,24
1720959073.0985339,24
1720959073.214692,24
1720959073.33091,14
1720959073.447069,23
1720959073.563345,23
1720959073.67955,14
1720959073.795663,16
1720959073.912181,17
1720959074.026309,8
1720959074.143575,24
1720959074.259743,23
1720959074.3754811,14
1720959074.492241,22
1720959074.608335,18
1720959074.724749,23
1720959074.840968,24
1720959074.9571998,19
1720959075.073747,24
1720959075.189754,14
1720959075.3059552,18
1720959075.422251,16
1720959075.538433,20
1720959075.654654,23
1720959075.77087,23
1720959075.887181,27
1720959076.0035431,26
1720959076.119781,19
1720959076.236116,23
1720959076.352163,24
1720959076.4684641,24
1720959076.584772,21
1720959076.7008798,23
1720959076.816421,25
1720959076.933008,18
1720959077.049815,25
1720959077.1657972,23
1720959077.282161,16
1720959077.396278,8
1720959077.5137658,12
1720959077.629802,23
1720959077.745931,13
1720959077.862218,16
1720959077.979112,14
1720959078.094837,11
1720959078.211105,16
1720959078.327292,16
1720959078.4431481,17
1720959078.5598552,17
1720959078.676018,20
1720959078.7922392,32
1720959078.908447,20
1720959079.024666,29
1720959079.141027,27
1720959079.2572658,24
1720959079.373549,23
1720959079.490007,23
1720959079.606014,24
1720959079.722313,19
1720959079.838399,26
1720959079.95472,24
1720959080.070833,25
1720959080.18737,23
1720959080.3035462,25
1720959080.4196868,23
1720959080.5358772,23
1720959080.652582,26
1720959080.768565,20
1720959080.8845592,28
1720959081.000906,24
1720959081.1172469,24
1720959081.2335749,18
1720959081.3495932,17
1720959081.465808,24
1720959081.5822358,24
1720959081.6986282,14
1720959081.814375,19
1720959081.930586,19
1720959082.047091,22
1720959082.163432,11
1720959082.279713,11
1720959082.3959901,12
1720959082.511969,11
1720959082.628504,17
1720959082.744603,21
1720959082.860628,26
1720959082.977204,22
1720959083.093622,26
1720959083.2096782,19
1720959083.3259509,27
1720959083.441739,24
1720959083.558105,27
1720959083.674519,29
1720959083.790825,26
1720959083.907113,22
1720959084.0240269,20
1720959084.1398,25
1720959084.2557492,20
1720959084.372161,21
1720959084.4891331,25
1720959084.604718,23
1720959084.7209458,22
1720959084.837004,24
1720959084.953951,26
1720959085.0696452,23
1720959085.1858401,23
1720959085.3021472,25
1720959085.41835,24
1720959085.534601,24
1720959085.650774,23
1720959085.767052,23
1720959085.881066,8
1720959085.998423,10
1720959086.114678,16
1720959086.230966,13
1720959086.34496,6
1720959086.461925,14
