Timestamp,EEG Value
1720959533.017281,22
1720959533.1331441,23
1720959533.249077,15
1720959533.365269,11
1720959533.481438,23
1720959533.5982661,15
1720959533.714108,24
1720959533.830434,25
1720959533.9445078,8
1720959534.061522,15
1720959534.17776,26
1720959534.294314,21
1720959534.41083,24
1720959534.526784,18
1720959534.642831,19
1720959534.759349,23
1720959534.8753972,25
1720959534.991694,24
1720959535.1079628,15
1720959535.2244742,15
1720959535.3404741,23
1720959535.4566982,15
1720959535.572892,23
1720959535.689267,23
1720959535.805372,23
1720959535.9217322,21
1720959536.03789,24
1720959536.15437,23
1720959536.270384,25
1720959536.386282,23
1720959536.5027971,35
1720959536.6193879,28
1720959536.734758,12
1720959536.850961,16
1720959536.965864,6
1720959537.0832288,23
1720959537.1993139,15
1720959537.313545,8
1720959537.4284532,0
1720959537.5457358,24
1720959537.662064,21
1720959537.778044,25
1720959537.894624,18
1720959538.0106812,16
1720959538.12697,23
1720959538.2432818,18
1720959538.3593159,18
1720959538.475708,21
1720959538.592045,14
1720959538.708086,23
1720959538.824275,18
1720959538.940671,20
1720959539.057041,23
1720959539.1731021,16
1720959539.28939,24
1720959539.4056818,23
1720959539.5219269,19
1720959539.638002,26
1720959539.7543712,21
1720959539.870877,23
1720959539.9868858,24
1720959540.1042361,22
1720959540.219507,23
1720959540.3355598,17
1720959540.4517848,22
1720959540.5681999,23
1720959540.6840708,17
1720959540.800781,18
1720959540.91695,24
1720959541.033118,22
1720959541.1493819,15
1720959541.265722,24
1720959541.3817458,23
1720959541.498067,19
1720959541.6144168,15
1720959541.730143,23
1720959541.846339,23
1720959541.963197,23
1720959542.077256,9
1720959542.194571,24
1720959542.3106859,20
1720959542.4270349,21
1720959542.543555,24
1720959542.659432,21
1720959542.775777,20
1720959542.8918679,19
1720959543.008066,21
1720959543.124318,22
1720959543.240462,24
1720959543.356993,24
1720959543.473164,20
1720959543.5894809,25
1720959543.705565,23
1720959543.8217752,23
1720959543.9380941,18
1720959544.054267,19
1720959544.170563,25
1720959544.286842,20
1720959544.403154,21
1720959544.519349,23
1720959544.6357791,14
1720959544.7520618,24
1720959544.868067,23
1720959544.984373,23
1720959545.10047,23
1720959545.21688,23
1720959545.3330119,23
1720959545.449176,24
1720959545.565517,23
1720959545.68167,22
1720959545.798132,15
1720959545.914192,17
1720959546.030623,24
1720959546.146704,13
1720959546.262434,24
1720959546.378861,24
1720959546.495331,11
1720959546.611805,20
1720959546.72752,19
1720959546.843932,17
1720959546.960651,21
1720959547.076902,22
1720959547.19112,0
1720959547.308079,26
1720959547.424358,22
1720959547.54062,20
1720959547.6568708,21
1720959547.773159,20
1720959547.889426,24
1720959548.005718,24
1720959548.1216881,23
1720959548.238411,20
1720959548.3539531,21
1720959548.468296,3
1720959548.5856938,21
1720959548.701525,22
1720959548.818345,24
1720959548.934359,20
1720959549.050566,24
1720959549.166867,23
1720959549.2831979,25
1720959549.399391,25
1720959549.5156312,23
1720959549.631808,24
1720959549.7481549,24
1720959549.864331,23
1720959549.980514,23
1720959550.0941179,8
1720959550.211564,22
1720959550.328227,15
1720959550.444414,17
1720959550.560639,24
1720959550.6770508,23
1720959550.7934039,19
1720959550.9095738,19
1720959551.0257862,14
1720959551.142145,18
1720959551.258264,16
1720959551.3743901,18
1720959551.490548,22
1720959551.607252,25
1720959551.722541,22
1720959551.839156,21
1720959551.95553,20
1720959552.071877,24
1720959552.188211,22
1720959552.304481,24
1720959552.420799,22
1720959552.536951,26
1720959552.653155,23
1720959552.7690392,25
1720959552.885739,25
1720959553.0019221,25
1720959553.1182752,15
1720959553.234455,23
1720959553.350543,24
1720959553.466771,23
1720959553.582975,24
1720959553.6993768,23
1720959553.815583,25
1720959553.931795,25
1720959554.048063,25
1720959554.164213,23
1720959554.28065,24
1720959554.396888,23
