Timestamp,EEG Value
1720939054.009793,13
1720939054.125979,18
1720939054.242303,20
1720939054.358258,17
1720939054.4748101,17
1720939054.590795,16
1720939054.706978,16
1720939054.8233442,17
1720939054.9395359,21
1720939055.055888,17
1720939055.1721768,17
1720939055.2887628,22
1720939055.405511,16
1720939055.521437,22
1720939055.636784,20
1720939055.7532039,20
1720939055.869301,17
1720939055.988412,17
1720939056.102099,22
1720939056.2180438,18
1720939056.334542,18
1720939056.450727,19
1720939056.567085,20
1720939056.684532,22
1720939056.799697,19
1720939056.915654,23
1720939057.0319848,17
1720939057.1482828,22
1720939057.264317,16
1720939057.380523,18
1720939057.497979,21
1720939057.613145,19
1720939057.7293289,19
1720939057.8462741,20
1720939057.962021,16
1720939058.078071,12
1720939058.194188,14
1720939058.310343,13
1720939058.4268942,16
1720939058.5432498,16
1720939058.659554,20
1720939058.775575,17
1720939058.891797,17
1720939059.008074,17
1720939059.1243489,15
1720939059.240584,18
1720939059.356839,22
1720939059.472546,22
1720939059.588841,17
1720939059.7052631,21
1720939059.8217442,18
1720939059.9377,21
1720939060.054199,16
1720939060.1712399,18
1720939060.286592,21
1720939060.402932,17
1720939060.5192451,19
1720939060.635421,18
1720939060.75162,19
1720939060.867978,18
1720939060.98392,18
1720939061.1006458,18
1720939061.2173471,19
1720939061.333117,22
1720939061.4492018,22
1720939061.565501,23
1720939061.681494,18
1720939061.79795,23
1720939061.914195,23
1720939062.030514,21
1720939062.1466398,16
1720939062.262911,20
1720939062.379005,16
1720939062.495243,20
1720939062.6116,18
1720939062.7275531,19
1720939062.844623,18
1720939062.9602509,17
1720939063.076719,18
1720939063.193245,18
1720939063.309097,19
1720939063.425279,18
1720939063.5418198,18
1720939063.65785,17
1720939063.774015,20
1720939063.8900921,18
1720939064.006167,18
1720939064.1227021,19
1720939064.239132,20
1720939064.355362,19
1720939064.471474,21
1720939064.5882702,17
1720939064.7038379,19
1720939064.820178,21
1720939064.9373262,24
1720939065.052674,23
1720939065.169159,22
1720939065.2851431,22
1720939065.401199,23
1720939065.518729,23
1720939065.6339252,23
1720939065.750172,22
1720939065.866721,18
1720939065.982867,19
1720939066.0990689,24
1720939066.2150311,16
1720939066.331497,18
1720939066.4474711,20
1720939066.563987,20
1720939066.680075,18
1720939066.796287,18
1720939066.912554,16
1720939067.0287712,17
1720939067.145189,15
1720939067.260787,16
1720939067.377019,16
1720939067.493956,14
1720939067.610414,16
1720939067.726122,14
1720939067.8425012,16
1720939067.958752,16
1720939068.076237,18
1720939068.1911511,20
1720939068.30745,17
1720939068.423649,19
1720939068.539961,18
1720939068.6564128,19
1720939068.7724311,19
1720939068.8889291,18
1720939069.005064,18
1720939069.121191,19
1720939069.2415822,17
1720939069.353581,17
1720939069.4698792,18
1720939069.5862138,23
1720939069.702249,19
1720939069.818558,17
1720939069.934849,23
1720939070.05181,20
1720939070.16743,22
1720939070.283514,24
1720939070.399936,23
1720939070.5168698,24
1720939070.6324701,21
1720939070.748364,20
1720939070.864724,22
1720939070.98097,21
1720939071.097326,22
1720939071.213526,22
1720939071.329838,20
1720939071.4461162,21
1720939071.562392,20
1720939071.680539,18
1720939071.794681,18
1720939071.910775,18
1720939072.0272892,18
1720939072.1434271,18
1720939072.259552,17
1720939072.3760908,18
1720939072.492179,19
1720939072.6085389,18
1720939072.725107,18
1720939072.842897,19
1720939072.957026,15
1720939073.073358,21
1720939073.189525,19
1720939073.306245,19
1720939073.421885,19
1720939073.5383098,19
1720939073.6547048,20
1720939073.7709372,19
1720939073.8878348,19
1720939074.003343,20
1720939074.119673,20
1720939074.235907,19
1720939074.352143,21
1720939074.4682019,18
1720939074.584794,18
1720939074.701718,20
1720939074.816821,20
1720939074.933444,24
1720939075.04947,22
1720939075.165447,22
1720939075.282105,21
1720939075.3983018,23
1720939075.513925,23
1720939075.630205,22
1720939075.746969,23
1720939075.863186,22
1720939075.979672,23
1720939076.095584,24
1720939076.2118762,22
1720939076.328545,24
1720939076.4445598,19
1720939076.5605602,24
1720939076.676985,20
1720939076.793225,23
1720939076.909512,21
1720939077.027976,25
1720939077.142234,24
1720939077.2582889,24
1720939077.374274,22
1720939077.49053,19
1720939077.606961,26
1720939077.7231,19
1720939077.839248,23
1720939077.955518,21
1720939078.071867,23
1720939078.18818,23
1720939078.3043141,23
1720939078.42062,22
1720939078.537146,19
1720939078.653126,23
1720939078.769166,23
1720939078.8856509,21
1720939079.001884,22
1720939079.118077,22
1720939079.234486,21
1720939079.3514502,23
1720939079.466903,22
1720939079.583128,21
1720939079.699907,23
1720939079.815609,24
1720939079.931892,22
1720939080.047628,22
1720939080.164135,20
1720939080.280342,19
1720939080.396698,23
1720939080.515981,23
1720939080.6305861,23
1720939080.745729,23
1720939080.8616261,23
1720939080.9778838,23
1720939081.094252,22
1720939081.210342,24
1720939081.32669,22
1720939081.442892,24
1720939081.559519,19
1720939081.675405,23
1720939081.791687,23
1720939081.908759,24
1720939082.024352,23
1720939082.142616,23
1720939082.256365,20
1720939082.372621,23
1720939082.489046,22
1720939082.6054258,19
1720939082.72106,22
1720939082.837975,23
1720939082.954296,20
1720939083.070594,23
1720939083.186352,23
1720939083.302537,21
1720939083.422192,23
1720939083.535072,20
1720939083.651665,23
1720939083.767654,22
1720939083.883879,24
1720939084.000109,22
1720939084.116479,23
1720939084.233737,23
1720939084.34913,23
1720939084.465311,22
1720939084.5814981,22
1720939084.697835,22
1720939084.813947,24
1720939084.9301581,22
1720939085.046608,23
1720939085.162685,22
1720939085.279032,22
1720939085.395165,23
1720939085.512883,22
1720939085.627415,23
1720939085.743864,23
1720939085.860196,24
1720939085.976266,23
1720939086.092879,23
1720939086.2088242,22
1720939086.325342,17
1720939086.442095,20
1720939086.5576901,22
1720939086.673909,24
1720939086.790134,22
1720939086.906291,24
1720939087.022657,23
1720939087.138911,23
1720939087.255074,22
1720939087.371712,22
1720939087.4892921,23
1720939087.605201,22
1720939087.719774,21
1720939087.836024,22
1720939087.9524422,22
1720939088.068653,23
1720939088.1848042,24
1720939088.301636,24
1720939088.417439,23
1720939088.534084,22
1720939088.650049,23
1720939088.7664168,23
1720939088.882868,23
1720939088.9992871,23
1720939089.1149912,22
1720939089.231004,24
1720939089.347442,24
1720939089.4633899,23
1720939089.579686,24
1720939089.696077,23
1720939089.812275,23
1720939089.928541,24
1720939090.044665,23
1720939090.1611001,24
1720939090.277283,23
1720939090.393631,24
1720939090.509098,23
1720939090.626125,23
1720939090.7423759,20
1720939090.858656,23
1720939090.9754722,22
1720939091.091031,23
1720939091.207079,24
1720939091.3234718,26
1720939091.439979,23
1720939091.5564349,22
1720939091.672226,23
1720939091.788372,26
1720939091.904432,22
1720939092.020826,24
1720939092.137246,24
1720939092.253309,23
1720939092.369792,28
1720939092.489247,22
1720939092.602329,22
1720939092.718434,22
1720939092.8372328,23
1720939092.950486,22
1720939093.066696,23
1720939093.1825979,23
1720939093.299147,23
1720939093.415435,22
1720939093.531321,23
1720939093.647618,22
1720939093.764045,22
1720939093.8811772,23
1720939093.9971032,22
1720939094.113434,23
1720939094.229578,23
1720939094.3463318,24
