Timestamp,EEG Value
1720939420.5839748,22
1720939420.700128,21
1720939420.8158221,19
1720939420.9322891,21
1720939421.048369,19
1720939421.16468,16
1720939421.28096,19
1720939421.397102,17
1720939421.513355,23
1720939421.6297688,23
1720939421.745842,23
1720939421.8621771,23
1720939421.978425,23
1720939422.0951319,20
1720939422.214057,24
1720939422.3268402,24
1720939422.443378,23
1720939422.559662,19
1720939422.6757162,18
1720939422.7921228,21
1720939422.908447,19
1720939423.0243049,19
1720939423.140492,18
1720939423.257133,22
1720939423.373347,23
1720939423.489286,23
1720939423.6057549,23
1720939423.721834,22
1720939423.838071,23
1720939423.954585,23
1720939424.070807,24
1720939424.1870239,22
1720939424.303355,22
1720939424.419703,23
1720939424.5358238,20
1720939424.6519182,22
1720939424.76784,20
1720939424.884416,21
1720939425.000735,22
1720939425.117017,21
1720939425.233162,17
1720939425.3496058,23
1720939425.4656398,21
1720939425.583275,18
1720939425.6993668,23
1720939425.814423,21
1720939425.9306262,20
1720939426.046849,20
1720939426.163021,21
1720939426.279262,23
1720939426.395749,20
1720939426.512303,21
1720939426.6282072,21
1720939426.744261,19
1720939426.860588,18
1720939426.976885,23
1720939427.093293,23
1720939427.209142,23
1720939427.325542,23
1720939427.441731,20
1720939427.5588548,20
1720939427.674585,20
1720939427.790765,20
1720939427.9069178,24
1720939428.022923,23
1720939428.139273,23
1720939428.25543,24
1720939428.372427,22
1720939428.488022,18
1720939428.604248,21
1720939428.7203882,19
1720939428.836457,22
1720939428.953807,23
1720939429.0692558,17
1720939429.1854,18
1720939429.301663,22
1720939429.417929,20
1720939429.5341141,24
1720939429.650434,19
1720939429.766583,23
1720939429.8829849,23
1720939429.99875,21
1720939430.115479,22
1720939430.231848,22
1720939430.34784,23
1720939430.464225,23
1720939430.580404,22
1720939430.696942,20
1720939430.812701,22
1720939430.92941,21
1720939431.045394,23
1720939431.1616042,22
1720939431.2779799,20
1720939431.394163,21
1720939431.510205,22
1720939431.6266859,23
1720939431.742857,21
1720939431.859031,22
1720939431.975352,22
1720939432.0914838,20
1720939432.212359,23
1720939432.3242052,23
1720939432.439735,22
1720939432.5561652,20
1720939432.672854,21
1720939432.7888472,24
1720939432.905195,22
1720939433.021503,21
1720939433.1376169,19
1720939433.2540789,21
1720939433.3703868,18
1720939433.486187,23
1720939433.602939,20
1720939433.7189,21
1720939433.8350878,20
1720939433.9515488,18
1720939434.067303,21
1720939434.184001,21
1720939434.300218,20
1720939434.41648,20
1720939434.532532,20
1720939434.649028,21
1720939434.765034,20
1720939434.881832,20
1720939434.998954,21
1720939435.11409,20
1720939435.230089,21
1720939435.346318,21
1720939435.462647,23
1720939435.5789409,23
1720939435.69506,23
1720939435.811611,21
1720939435.927694,23
1720939436.0443058,21
1720939436.1599538,21
1720939436.276226,18
1720939436.392649,21
1720939436.508628,20
1720939436.62512,21
1720939436.741125,20
1720939436.857551,20
1720939436.973856,19
1720939437.090216,21
1720939437.206034,20
1720939437.322596,20
1720939437.4387321,22
1720939437.555011,24
1720939437.671322,24
1720939437.787529,23
1720939437.9042392,19
1720939438.0199292,23
1720939438.136279,19
1720939438.252487,23
1720939438.368787,22
1720939438.484805,23
1720939438.601305,22
1720939438.717217,20
1720939438.833531,23
1720939438.949804,21
1720939439.066304,21
1720939439.1835039,21
1720939439.2987552,21
1720939439.415238,21
1720939439.5310771,20
1720939439.647578,21
1720939439.763584,23
1720939439.879839,21
1720939439.996052,22
1720939440.112073,23
1720939440.2278972,22
1720939440.344857,23
1720939440.46117,22
1720939440.577641,23
1720939440.6934478,23
1720939440.809757,21
1720939440.925803,24
1720939441.042202,20
1720939441.1585548,23
1720939441.274749,20
1720939441.392309,23
1720939441.5082781,20
1720939441.6238878,22
1720939441.739748,24
1720939441.8558779,23
1720939441.972311,23
1720939442.087986,22
1720939442.204496,18
1720939442.320842,23
1720939442.4373639,24
1720939442.5531461,23
1720939442.66934,20
1720939442.787971,23
1720939442.90276,23
1720939443.018334,19
1720939443.134602,24
1720939443.250635,16
1720939443.367028,22
1720939443.4846022,23
1720939443.599723,22
1720939443.715361,24
1720939443.8317592,22
1720939443.948056,20
1720939444.064385,19
1720939444.180578,21
1720939444.296913,20
1720939444.4131799,21
1720939444.529367,20
1720939444.6460211,23
1720939444.7620869,22
1720939444.8782668,21
1720939444.994282,23
1720939445.1108348,22
1720939445.226901,23
1720939445.343245,23
1720939445.4595609,16
1720939445.575951,21
1720939445.692123,23
1720939445.808345,22
1720939445.9246159,23
1720939446.040649,23
1720939446.1570969,20
1720939446.2736168,23
1720939446.3895402,24
1720939446.5056598,24
1720939446.6219919,24
1720939446.738231,23
1720939446.854489,24
1720939446.970995,19
1720939447.086922,24
1720939447.203043,19
1720939447.319568,22
1720939447.435646,21
1720939447.552107,23
1720939447.6679401,23
1720939447.7842848,23
1720939447.899921,24
1720939448.0164459,21
1720939448.1331909,23
1720939448.249364,21
1720939448.365634,22
1720939448.4830348,23
1720939448.598284,23
1720939448.714358,23
1720939448.8338351,22
1720939448.946777,19
1720939449.0628648,24
1720939449.17932,23
1720939449.295747,23
1720939449.411817,23
1720939449.5281081,24
1720939449.6443362,21
1720939449.760586,21
1720939449.876781,20
1720939449.992943,23
1720939450.109099,21
1720939450.225442,21
1720939450.3418272,21
1720939450.458067,23
1720939450.574292,19
1720939450.691175,24
1720939450.807426,19
1720939450.922982,21
1720939451.039249,24
1720939451.155396,23
1720939451.271528,23
1720939451.387918,22
1720939451.504054,23
1720939451.620573,22
1720939451.737191,22
1720939451.8531148,23
1720939451.969461,20
1720939452.084816,24
1720939452.200834,16
1720939452.317122,23
1720939452.433439,19
1720939452.54992,23
1720939452.665967,22
1720939452.782291,23
1720939452.898271,23
1720939453.0148659,20
1720939453.131386,23
1720939453.247832,23
1720939453.364148,23
1720939453.480284,22
1720939453.5967329,21
1720939453.7126458,24
1720939453.8300061,23
1720939453.945515,22
1720939454.060829,22
1720939454.177081,23
1720939454.293509,24
1720939454.410819,22
1720939454.5267122,24
1720939454.642766,21
1720939454.7590349,23
1720939454.8745441,22
1720939454.9909482,21
1720939455.108644,22
1720939455.2245078,24
1720939455.3400772,21
1720939455.456397,21
1720939455.572735,21
1720939455.6889129,23
1720939455.804516,22
1720939455.9215958,24
1720939456.0376441,22
1720939456.1539369,23
1720939456.2701309,23
1720939456.386475,22
1720939456.5026848,23
1720939456.618933,23
1720939456.735022,23
1720939456.8514402,24
1720939456.9676008,23
1720939457.083885,24
1720939457.200209,22
1720939457.316318,22
1720939457.43271,21
1720939457.549087,21
1720939457.6653152,23
1720939457.7813451,23
1720939457.8976388,24
1720939458.013782,23
1720939458.129767,24
1720939458.246339,23
1720939458.362657,22
1720939458.478799,23
1720939458.5950878,19
1720939458.711411,22
1720939458.833406,24
1720939458.9436831,23
1720939459.0601568,19
1720939459.176088,23
1720939459.292605,22
1720939459.408582,19
1720939459.525162,22
1720939459.641207,22
1720939459.757602,22
1720939459.873822,21
1720939459.990517,24
1720939460.106236,21
1720939460.2224782,23
1720939460.338624,21
1720939460.4549801,23
1720939460.571285,24
1720939460.687638,23
1720939460.803694,21
1720939460.920073,20
1720939461.036323,23
1720939461.152117,22
1720939461.26904,23
1720939461.384919,22
1720939461.5011232,21
1720939461.617407,21
1720939461.733578,23
1720939461.8498318,23
1720939461.966718,22
1720939462.082272,23
1720939462.198653,23
1720939462.314873,20
1720939462.431079,23
1720939462.5474508,22
1720939462.6635919,23
1720939462.779941,23
1720939462.8959732,23
1720939463.012287,24
1720939463.12847,22
1720939463.244996,22
1720939463.361012,24
1720939463.4772139,22
1720939463.593611,22
1720939463.709565,23
1720939463.8255959,24
1720939463.942174,22
1720939464.058497,16
1720939464.174657,23
1720939464.291091,22
1720939464.407159,21
1720939464.523371,23
1720939464.6397839,22
1720939464.755786,23
1720939464.872115,24
1720939464.988936,22
1720939465.1045718,17
1720939465.220853,19
1720939465.337224,22
1720939465.453249,24
1720939465.569689,22
1720939465.6856802,20
1720939465.8024251,23
1720939465.9182332,22
1720939466.0346398,23
1720939466.150687,21
1720939466.266996,22
1720939466.3834088,23
1720939466.4994502,23
1720939466.615801,20
1720939466.732008,23
1720939466.8484008,21
1720939466.964579,23
1720939467.0809112,20
1720939467.196815,16
1720939467.313267,23
1720939467.429582,23
1720939467.54619,22
1720939467.6617558,16
1720939467.778315,22
1720939467.89442,23
1720939468.010813,24
1720939468.126987,23
1720939468.243101,23
1720939468.359359,23
1720939468.47573,23
1720939468.591861,22
1720939468.708153,23
1720939468.824509,21
1720939468.94065,22
1720939469.057142,21
1720939469.173568,19
1720939469.289523,21
1720939469.406305,20
1720939469.521974,22
1720939469.63796,23
1720939469.7544162,20
1720939469.870573,24
1720939469.988647,22
1720939470.103738,24
1720939470.2192268,23
1720939470.335595,20
1720939470.451802,23
1720939470.56782,23
1720939470.684195,19
1720939470.800627,23
1720939470.9165912,20
1720939471.032266,22
1720939471.14933,22
1720939471.265495,20
1720939471.3819761,15
1720939471.502222,18
1720939471.6143959,22
1720939471.730516,23
